miRNAs,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-31-5p,4.12464247651906,8.25380693012393,5.1901687028159,6.1873578503497e-05,0.00123806650832478,1.66260094234713
hsa-miR-4522,3.43390497387248,6.96483221230855,8.10318847459426,2.05938702580318e-07,1.64830169257554e-05,7.3555499946914
hsa-miR-1273f,3.23187113372701,7.90070366392135,8.57531519085556,9.07919893931617e-08,8.9970538060557e-06,8.16785224490917
hsa-miR-4505,3.1662430510312,7.86761856930008,8.73295347213685,6.95039975544131e-08,7.23189094553668e-06,8.43230157896387
hsa-miR-4739,3.14962166498928,10.6966965190241,9.09380342857473,3.81401778251054e-08,5.29131400360295e-06,9.02516375371416
hsa-miR-665,3.04429865228602,9.3186166352754,9.12155775618317,3.64435150071742e-08,5.29131400360295e-06,9.07005241776508
hsa-miR-4508,2.92907496972146,7.8103842908268,11.0029701528242,2.04038307930242e-09,7.07672864671389e-07,11.8905564388966
hsa-miR-1253,2.83629503540826,8.19702781521978,7.69442318417985,4.28374989185863e-07,2.70135864392661e-05,6.62725332482526
hsa-miR-4459,2.81917281632222,9.66515607395675,6.00164419031286,1.12920488573929e-05,0.000350727666749769,3.36114460183126
hsa-miR-1273a,2.73736695038957,10.0272893821248,9.15191123363903,3.46779032393238e-08,5.29131400360295e-06,9.11902984630538
kshv-miR-K12-6-3p,2.54209937091868,9.15407359036357,6.3899107150861,5.15286512943423e-06,0.000187329678521336,4.14526539143154
hsa-miR-1587,2.45549317650411,9.57949241175983,6.74412988279005,2.56349386863861e-06,0.00010887001511504,4.84285180604161
hsa-miR-504-5p,2.29854114778621,9.7855764548681,4.02149796860549,0.000802329294909679,0.00869607949326585,-0.879271958057981
hsa-miR-23a-5p,2.11523047367348,8.56348044682112,4.60969861706034,0.000218222847881752,0.00331475727329873,0.408364974349799
hsa-miR-5684,2.08988447796247,11.2259689405459,5.72325246176984,2.00586162223972e-05,0.0005351535943437,2.78700869639552
hsa-miR-4284,2.03533956400598,7.91228282933898,4.72453547762892,0.000169659314923353,0.00284726640609273,0.658379253946862
hsa-miR-4687-3p,2.00978801594018,8.51354482243667,6.0686255421176,9.84870500785872e-06,0.000320236798771156,3.49782787813137
hsa-miR-3656,2.00887430532232,6.21367676443262,11.747766587687,7.20639335857006e-10,2.99930091583686e-07,12.8953885224381
hsv1-miR-H17,1.99797093947461,5.47160360985451,5.38830206016015,4.05524140814408e-05,0.000937661930038648,2.08407332834469
hsa-miR-1273g-3p,1.99050166717382,10.3288923192738,5.39469154392557,4.00065619305397e-05,0.00093588725971074,2.09759843689003
hsa-miR-486-3p,1.86958138509273,7.36059881025566,5.45047180228035,3.55498238149844e-05,0.000865272610279672,2.21548819171449
hsa-miR-4516,1.84499972736673,6.93582321877844,4.59663617310884,0.000224575884249996,0.00338653924003073,0.379881246325484
hsa-miR-3960,1.76108281350222,10.9815822612267,4.65854588313496,0.000196039733834723,0.00313814373930814,0.514801771728663
hsa-miR-4507,1.7330715380315,7.09538445347646,5.34859270226899,4.41203571971681e-05,0.000997983297035944,1.99992156955981
hsa-miR-181b-2-3p,1.70583108126121,6.16123315591482,5.22139720136341,5.78709875067862e-05,0.00121645984850123,1.72928874538902
hsa-miR-3135a,1.70451265421629,9.60771691005159,5.25721069420654,5.36053939913223e-05,0.00115301380089115,1.80565170787556
hsa-miR-3612,1.70308839431243,9.08762946576347,5.7506997262207,1.89457130722046e-05,0.000512026349392959,2.8440363520328
hsa-miR-191-3p,1.64881088784218,10.0939212187824,4.8662546069644,0.000124541381154291,0.00223458025282196,0.965792953125947
hsa-miR-149-5p,1.63226288555376,8.1067699928785,4.79487832194376,0.000145492702702324,0.00250223400267386,0.811133970896297
hsa-miR-3146,1.60206978961954,10.6829794685218,4.22673429234583,0.000508451451030571,0.00622404393879187,-0.429373463311097
hsa-miR-4784,1.57387426898662,12.0811183213797,5.44770359343203,3.57585028755655e-05,0.000865272610279672,2.20964555238808
hsa-miR-4673,1.55713642077027,8.27891409459323,5.76373570597589,1.84395906824906e-05,0.000504905108029777,2.87108974385412
hsa-miR-3611,1.55483269741084,11.1728206725976,4.49547291739649,0.000280582787321435,0.00397172466987979,0.159016063143281
hsa-miR-339-3p,1.53496416928258,6.26561471188226,4.15924392521424,0.000590646542532543,0.00694426810740239,-0.577332579999715
hsa-miR-1303,1.53140901225072,5.687594806588,7.10534508245444,1.28006463365599e-06,6.4472263476019e-05,5.5361820443886
kshv-miR-K12-5-3p,1.52331679666858,8.40271147999147,5.09402069621615,7.60692883733395e-05,0.00143909262822654,1.45670668571259
hsa-miR-4441,1.51900413200802,10.7674642830324,7.6007914775687,5.08201062996488e-07,3.11048944734027e-05,6.45711919061432
hsa-miR-2682-3p,1.44634537134478,7.20259250961988,5.33160424795325,4.57436072825471e-05,0.00102357469629011,1.96386980084226
hsa-miR-4419a,1.43824313127259,9.62600822103563,4.2800355680963,0.000451763768237348,0.00583376090005995,-0.312547933461762
hsa-miR-4424,1.41311101182681,6.865941500648,4.29259963923259,0.00043935777448494,0.00575033665851044,-0.285015788923775
hsa-miR-5194,1.40317533537738,6.69360068551818,4.37920784390735,0.000362702799085716,0.00490119821361932,-0.0953134716266044
hsa-miR-133a-5p,1.39791271506512,5.61311413751759,4.02573087535214,0.00079480691401353,0.0086596501992783,-0.869996820679654
hsa-miR-3127-5p,1.38131081158746,6.59321197662928,4.50259282343809,0.000276213864158534,0.00397172466987979,0.174575120936576
