ID,Description,Count,GeneRatio,geneID
GO:0019239,deaminase activity,45,45/10190,RPUSD2/ADARB1/DCTD/ADAR/ADARB1/ADARB1/DCTD/GNPDA2/RPUSD4/RPUSD4/APOBEC3B/AMPD2/ADAR/ADARB1/ADAT2/ADAR/ADAT2/APOBEC3G/DCTD/ADAT2/ADAR/ADAT2/RPUSD4/ADARB2/ADAR/ADAT2/ADAT2/ADAR/ADAT2/ADARB1/ADAT1/APOBEC3F/FTCD/FTCD/APOBEC3F/CECR1/ADAT2/ADARB2/APOBEC3F/CECR1/ADARB2/AMPD3/APOBEC3F/CECR1/RPUSD2
GO:0032451,demethylase activity,65,65/10190,ALKBH4/CYP51A1/JMJD1C/KDM4A/KDM6B/KDM4D/KDM6B/PHF8/KDM5C/KDM7A/KDM4A/KDM5D/KDM7A/ALKBH4/ALKBH5/JMJD6/KDM3B/KDM6B/KDM3B/KDM6B/KDM6B/KDM1B/KDM4D/KDM3A/ALKBH4/KDM5A/KDM5A/JMJD1C/PHF8/CYP51A1/JMJD1C/KDM1A/ARID5B/KDM3B/ALKBH4/KDM5C/ARID5B/KDM3B/KDM6B/CYP1A1/CYP1A1/KDM1A/KDM3A/KDM6B/KDM6B/ALKBH4/ALKBH5/PHF8/KDM5A/KDM4A/KDM2A/KDM3A/PHF8/FTO/CYP1A2/FTO/KDM6A/CYP1A1/JMJD1C/ALKBH5/FTO/CYP1A1/PHF8/ALKBH5/JMJD1C
GO:0043336,site-specific telomere resolvase activity,0,0/10190,
GO:0043364,catalysis of free radical formation,0,0/10190,
GO:0044825,retroviral strand transfer activity,0,0/10190,
GO:0046572,versicolorin B synthase activity,0,0/10190,
GO:0046905,phytoene synthase activity,0,0/10190,
GO:0061783,peptidoglycan muralytic activity,1,1/10190,LYZ
GO:0070283,radical SAM enzyme activity,7,7/10190,LIAS/LIAS/LIAS/LIAS/LIAS/LIAS/LIAS
GO:1990055,phenylacetaldehyde synthase activity,0,0/10190,
GO:0000156,phosphorelay response regulator activity,0,0/10190,
GO:0004879,"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding",140,140/10190,PPARA/STAT3/NR4A1/BRD8/NR4A3/RORB/RORC/RXRB/RXRB/RXRB/RXRB/RXRB/RXRB/STAT3/NKX3-1/PPARG/NR1I2/NR1H2/NR4A3/NR6A1/NR4A2/ESR1/ESR1/NR1D2/ESRRA/NKX3-1/STAT3/RORA/THRA/ESRRA/ESR1/ESR1/AHR/NR6A1/RARB/AHR/NR6A1/AHR/NR6A1/STAT3/AHR/NR6A1/NR6A1/RARB/ESR2/NR2F6/RORA/STAT3/ESR2/NR2F6/PPARG/RORA/STAT3/AHR/ESR1/NR2F6/ESR2/NKX3-1/NR1H4/PPARD/RORA/RXRB/RXRB/RXRB/RXRB/RXRB/RXRB/STAT3/ESR2/NR2F6/NR4A1/RORA/ESR2/NR2F6/RORA/STAT3/NR2F6/PPARA/RARG/RORA/AHR/ESR1/STAT3/ESR1/NR2F1/NR6A1/NR2F2/AR/ESRRG/NR6A1/RARB/THRA/NR1D2/NR2F2/RXRA/ESR1/PPARA/PPARG/THRA/RORA/RORA/THRB/ESR2/NR2F6/STAT3/NR2F6/AHR/RXRA/NR6A1/RARB/ESR2/NR2F6/PPARG/RORA/STAT3/NR6A1/BRD8/RORA/PPARA/AR/RARB/AHR/AR/PPARA/NR2F6/AR/AHR/AR/PPARA/AHR/NR2F6/RORA/NR2F2/NR6A1/AHR/RORA/PPARA/AHR/RORA/NR4A3
GO:0004708,MAP kinase kinase activity,49,49/10190,MAP2K4/MAP2K2/MAP2K1/MAP2K4/MAP2K1/MAP2K7/MAP2K7/MAP2K7/MAP2K7/MAP3K9/MAPK14/MAPKAPK5/MAP2K3/MAPKAPK5/MAP2K3/MAP2K4/MAPKAPK5/MAPK14/MAPKAPK5/MAP3K9/MAPKAPK5/MAP2K1/LRRK2/MAP3K9/MAPK14/MAPK10/MAP2K2/MAP2K4/MAP2K1/MAPK14/MAPKAPK5/MAP3K9/MAPK14/MAPKAPK5/MAP2K4/MAP3K9/MAPKAPK5/MAP2K4/MAP2K4/MAPK14/MAP3K9/PAK3/MAP3K9/MAPK14/MAP3K9/MAP2K4/MAPKAPK5/MAP2K6/MAPK14
GO:0005057,receptor signaling protein activity,494,494/10190,BMPR2/TGFBR2/SMAD1/EGFR/PAK1/RAF1/CDKN1B/KIT/CDKN1B/KIT/SMAD2/TGFBR1/BMPR2/MAP3K12/MAPK9/MAP3K12/TGFBR2/DAXX/DAXX/DAXX/DAXX/DAXX/DAXX/EGFR/MAP3K1/MAP3K2/NEK1/SLK/TGFB2/BMPR2/IL1RL1/INSR/MAP2K4/MAP3K12/MAP4K3/NSMAF/OXSR1/PAK1/PAK6/SMAD6/SMAD7/BMPR2/SMAD4/TGFBR2/ACVR2B/MAP3K7/SMAD7/ACVR2A/ACVR2B/BMPR2/IRAK1/MAPK9/NEK1/NLK/PAK6/PIP4K2B/PLCE1/STK3/TRAIP/ACVR1B/BMPR2/MAP2K2/MAPK9/CDKN1B/MAP2K1/NLK/NLK/LYN/LYN/ALK/MAP3K3/ACVR1/ACVR2A/KIT/SMAD4/SMAD5/EGFR/IKBKE/MAP3K10/PAK2/SMAD1/SMAD3/SMAD4/SMAD5/STK24/SMAD9/MAP2K4/TGFB2/MAP2K1/MAPK8/MAP3K8/ACVR1B/LYN/MAP2K7/MAP4K3/MAPK6/PAK4/SLK/SMAD6/STK4/TGFBR1/LYN/MAP2K7/MAPK6/STK4/LYN/MAP2K7/MAPK6/STK4/LYN/MAP2K7/MAPK6/STK4/TGFBR1/ACVR1B/ACVR2A/BAG4/MAP3K7/MAP4K2/MAPK6/MINK1/PAK2/SMAD3/SMAD7/TAOK1/ACVR1B/IRAK1/MAP3K14/MAP3K14/MAP3K2/MAP3K3/MAP3K8/MAP3K9/MAPK1/MAPK14/MINK1/PAK6/SLK/SMAD3/SMAD4/SMAD5/SMAD6/TGFBR2/ACVR1B/BMPR2/KIT/MAP2K3/MAP3K14/MAP3K14/MAP3K2/MAP3K3/MAP3K5/MAPK1/MAPK9/MINK1/PAK6/SLK/SMAD4/SMAD5/SMAD6/SMAD7/ERBB2/IRAK1/MAP2K3/SMAD7/TGFBR1/TIAM1/ACVR1/ARF1/BAG4/BMPR1A/MAP3K2/MAPK6/SMAD4/TGFBR2/ACVR1B/ARF1/BMPR1A/MAPK6/STK26/CDKN1B/ARF1/BMPR1A/BMPR2/IRAK1/MAP2K4/MAP3K4/MAP3K6/MAPK8/MAPK9/MINK1/NSMAF/PLCG1/PPP4C/SMAD4/SMAD6/SMAD7/STK25/STK4/TAOK2/TGFBR2/ACVR1B/MAP3K13/MAP3K14/MAP3K14/MAP3K2/MAP3K3/MAP3K4/MAPK1/MAPK9/MINK1/PAK6/SLK/SMAD5/SMAD6/SMAD7/ACVR1B/MAP3K2/MAPK1/MAPK14/MAPK9/MINK1/PAK6/SMAD4/TGFBR2/ACVR2B/MAP3K7/CDKN1B/MAP3K1/PIP4K2B/ACVR1/CDKN1B/MAP3K4/MAP3K9/SMAD2/BAG4/MAPK8/SMAD1/TAOK1/ACVR2A/TIAM1/BMPR2/MAP3K10/MAP3K3/MAP4K4/MAPK1/SMAD2/TGFBR1/BMPR2/MAP2K1/MAP3K10/MAP3K3/BAG4/MAP3K3/PAK4/SMAD4/ACVR2B/BMPR1A/MAP3K13/MAPK8/MAPK9/SMAD2/SMAD4/SMAD9/SYK/ERBB2/MAP3K9/MAPK14/SMAD1/SMAD4/SMAD7/ACVR2B/ERBB4/MAP3K2/MAPK10/PAK1/TIAM1/DAXX/DAXX/DAXX/DAXX/DAXX/DAXX/IRAK1/LYN/MINK1/MAP2K2/PAK2/SMAD4/ACVR2A/BAG4/KDR/MAP2K4/MAP3K7/MAP4K2/MAPK1/MINK1/PAK2/SMAD3/SMAD7/TAOK1/RAF1/BMPR2/EGFR/MAP2K1/MAPK14/MAPK6/RGS14/STK3/TAOK1/TGFBR1/ACVR1/BMPR2/IFITM1/MAP3K9/MAPK1/SMAD4/SMAD5/TAOK1/TGFBR1/TGFBR2/IRAK1/MAPK1/MAPK8/MLK4/MAP3K19/MINK1/PIP4K2B/PIP4K2B/RAF1/SMAD1/STK24/STK25/ACVR2B/BAG4/CDKN1B/KDR/MAPK7/PAK2/PLCG1/CDKN1B/DOK2/MAP3K14/MAP3K14/MAPK14/ACVR1B/BMPR2/KDR/MAP3K14/MAP3K14/MAP3K2/MAP3K3/MAPK1/MAPK9/MINK1/PAK6/PPP4C/SLK/SMAD4/SMAD5/SMAD6/SMAD7/TGFBR2/CDKN1B/ARF1/BMPR1A/MAP2K4/ERBB2/MLK4/MAP3K8/TGFBR1/ACVR1B/TIAM1/ACVR1C/MAP3K1/IRAK1/MAP3K1/MAP3K9/MAPK3/PDCL/ACVR2A/BAG4/MAP3K7/MAP4K2/PAK2/SMAD7/TAOK1/ACVR1B/BMPR2/MAP3K14/MAP3K14/MAP3K2/MAP3K3/MAPK1/MAPK9/MINK1/PAK6/SLK/SMAD4/SMAD5/SMAD6/TGFBR2/MAPK8/DOK2/IRAK1/MAP3K1/MAP3K3/PAK2/SMAD3/TAOK3/BMPR2/MAP3K3/PAK2/SMAD2/TGFBR2/ARF1/BMPR1A/BMPR2/MAP2K4/MAP3K2/MAPK1/NLK/SMAD3/SMAD6/SMAD7/MAPK1/MAP3K7/MAPK6/TAOK1/MAP2K4/MAPK1/MAPK14/MAP3K9/ACVR2B/CDKN1B/PGAM5/SMAD9/CDKN1B/PAK3/SMAD2/STK4/BMPR1A/SMAD9/TAOK1/TAOK1/TAOK1/PGAM5/SMAD9/BMPR1A/MAP3K9/SMAD2/ARF1/BMPR1A/MAP3K2/STK4/MAPK14/PGAM5/PLCG1/MLK4/ACVR2B/MAPK7/MAPK8/SMAD7/TAOK1/ARF1/BMPR1A/MAPK6/MAP3K9/MAP2K4/MAPK8/MLK4/ACVR1B/MAPK8/PAK6/LYN/STK4/MLK4/SMAD4/SYK/ACVR2B/ARF1/NEK4/MAP4K2/STK4/TYRO3/KIT/MAP2K6/MAPK14/MAPK8/MAPK1/CDKN1B/CDKN1B/SMAD4/MAP3K5
GO:0005068,transmembrane receptor protein tyrosine kinase adaptor activity,43,43/10190,PAG1/PIK3R1/BLNK/FRS2/PAG1/GAB2/FRS2/IRS1/PIK3R1/FRS2/SHC1/PAG1/PIK3R1/FRS2/FRS2/FRS2/PIK3R1/FRS2/PAG1/PIK3R1/IRS1/FRS2/IRS1/TRAT1/TRAT1/IRS1/PAG1/PIK3R1/GAB2/FRS2/IRS1/DOK2/PIK3R1/FRS2/PAG1/PIK3R1/FRS2/DOK2/PAG1/IRS1/FRS2/PAG1/PAG1
GO:0030297,transmembrane receptor protein tyrosine kinase activator activity,14,14/10190,EFNA5/GREM1/GREM1/GREM1/ANGPT4/GREM1/GREM1/GREM1/ANGPT4/ANGPT4/ANGPT4/GREM1/GREM1/GREM1
GO:0008086,light-activated voltage-gated calcium channel activity,0,0/10190,
GO:0008384,IkappaB kinase activity,6,6/10190,IKBKE/CHUK/CHUK/CHUK/IKBKB/IKBKB
GO:0009927,histidine phosphotransfer kinase activity,0,0/10190,
GO:0048018,receptor agonist activity,50,50/10190,WNT1/VEGFA/WNT3A/VEGFA/VEGFA/WNT5A/CXCL13/VEGFA/WNT3A/VEGFA/WNT3/WNT2/WNT3A/VEGFA/WNT3A/WNT5A/WNT5A/VEGFA/VEGFA/VEGFA/WNT5A/WNT5A/WNT4/WNT5A/VEGFA/WNT3/WNT3/WNT10B/GREM1/GREM1/GREM1/VEGFA/VEGFA/WNT3A/VEGFA/WNT4/VEGFA/VEGFA/VEGFA/GREM1/GREM1/GREM1/WNT4/VEGFA/VEGFA/VEGFA/GREM1/GREM1/GREM1/VEGFA
